url,cookie_domain,cookie_name,cookie_value
https://shop.clifbar.com/blogs/news,.clifbar.com,_cmp_a,%7B%22purposes%22%3A%7B%22a%22%3Atrue%2C%22p%22%3Atrue%2C%22m%22%3Atrue%2C%22t%22%3Atrue%7D%2C%22display_banner%22%3Afalse%2C%22sale_of_data_region%22%3Afalse%7D
https://shop.clifbar.com/blogs/news,.clifbar.com,_landing_page,%2Fblogs%2Fnews
https://shop.clifbar.com/blogs/news,.clifbar.com,_orig_referrer,
https://shop.clifbar.com/blogs/news,.clifbar.com,_shopify_s,8b39cdf8-427e-4276-8e61-1a4ed1d2cb1a
https://shop.clifbar.com/blogs/news,.clifbar.com,_shopify_y,8dc63c1b-c725-4e6b-ac90-484aba254e39
https://shop.clifbar.com/blogs/news,.clifbar.com,_tracking_consent,%7B%22reg%22%3A%22%22%2C%22con%22%3A%7B%22CMP%22%3A%7B%22m%22%3A%22%22%2C%22a%22%3A%22%22%2C%22p%22%3A%22%22%2C%22s%22%3A%22%22%7D%7D%2C%22region%22%3A%22USCO%22%2C%22v%22%3A%222.1%22%7D
https://shop.clifbar.com/blogs/news,shop.clifbar.com,cart_currency,USD
https://shop.clifbar.com/blogs/news,shop.clifbar.com,localization,US
https://shop.clifbar.com/blogs/news,shop.clifbar.com,secure_customer_sig,
https://shop.clifbar.com/collections/clif,.clifbar.com,_cmp_a,%7B%22purposes%22%3A%7B%22a%22%3Atrue%2C%22p%22%3Atrue%2C%22m%22%3Atrue%2C%22t%22%3Atrue%7D%2C%22display_banner%22%3Afalse%2C%22sale_of_data_region%22%3Afalse%7D
https://shop.clifbar.com/collections/clif,.clifbar.com,_landing_page,%2Fcollections%2Fclif
https://shop.clifbar.com/collections/clif,.clifbar.com,_orig_referrer,
https://shop.clifbar.com/collections/clif,.clifbar.com,_shopify_s,32143a5e-2d20-4cce-906a-55cca34ca1ad
https://shop.clifbar.com/collections/clif,.clifbar.com,_shopify_y,9c221c7c-f8b8-4c7e-88d1-70a84207b080
https://shop.clifbar.com/collections/clif,.clifbar.com,_tracking_consent,%7B%22reg%22%3A%22%22%2C%22con%22%3A%7B%22CMP%22%3A%7B%22s%22%3A%22%22%2C%22p%22%3A%22%22%2C%22m%22%3A%22%22%2C%22a%22%3A%22%22%7D%7D%2C%22region%22%3A%22USCO%22%2C%22v%22%3A%222.1%22%7D
https://shop.clifbar.com/collections/clif,shop.clifbar.com,cart_currency,USD
https://shop.clifbar.com/collections/clif,shop.clifbar.com,localization,US
https://shop.clifbar.com/collections/clif,shop.clifbar.com,secure_customer_sig,
https://shop.clifbar.com/collections/clif-kid,.clifbar.com,_cmp_a,%7B%22purposes%22%3A%7B%22a%22%3Atrue%2C%22p%22%3Atrue%2C%22m%22%3Atrue%2C%22t%22%3Atrue%7D%2C%22display_banner%22%3Afalse%2C%22sale_of_data_region%22%3Afalse%7D
https://shop.clifbar.com/collections/clif-kid,.clifbar.com,_landing_page,%2Fcollections%2Fclif-kid
https://shop.clifbar.com/collections/clif-kid,.clifbar.com,_orig_referrer,
https://shop.clifbar.com/collections/clif-kid,.clifbar.com,_shopify_s,bf86845b-da26-4419-a167-a54bf9726e78
https://shop.clifbar.com/collections/clif-kid,.clifbar.com,_shopify_y,4986a037-ce80-4ea2-86ec-04c3d5185d2f
https://shop.clifbar.com/collections/clif-kid,.clifbar.com,_tracking_consent,%7B%22con%22%3A%7B%22CMP%22%3A%7B%22s%22%3A%22%22%2C%22m%22%3A%22%22%2C%22a%22%3A%22%22%2C%22p%22%3A%22%22%7D%7D%2C%22region%22%3A%22USCO%22%2C%22v%22%3A%222.1%22%2C%22reg%22%3A%22%22%7D
https://shop.clifbar.com/collections/clif-kid,shop.clifbar.com,cart_currency,USD
https://shop.clifbar.com/collections/clif-kid,shop.clifbar.com,localization,US
https://shop.clifbar.com/collections/clif-kid,shop.clifbar.com,secure_customer_sig,
https://shop.clifbar.com/collections/luna,.clifbar.com,_cmp_a,%7B%22purposes%22%3A%7B%22a%22%3Atrue%2C%22p%22%3Atrue%2C%22m%22%3Atrue%2C%22t%22%3Atrue%7D%2C%22display_banner%22%3Afalse%2C%22sale_of_data_region%22%3Afalse%7D
https://shop.clifbar.com/collections/luna,.clifbar.com,_landing_page,%2Fcollections%2Fluna
https://shop.clifbar.com/collections/luna,.clifbar.com,_orig_referrer,
https://shop.clifbar.com/collections/luna,.clifbar.com,_shopify_s,ef756837-93c9-47fc-960c-bbc44322a964
https://shop.clifbar.com/collections/luna,.clifbar.com,_shopify_y,e5e039dd-53f6-48aa-a767-859aab98eb43
https://shop.clifbar.com/collections/luna,.clifbar.com,_tracking_consent,%7B%22region%22%3A%22USCO%22%2C%22reg%22%3A%22%22%2C%22con%22%3A%7B%22CMP%22%3A%7B%22s%22%3A%22%22%2C%22m%22%3A%22%22%2C%22a%22%3A%22%22%2C%22p%22%3A%22%22%7D%7D%2C%22v%22%3A%222.1%22%7D
https://shop.clifbar.com/collections/luna,shop.clifbar.com,cart_currency,USD
https://shop.clifbar.com/collections/luna,shop.clifbar.com,localization,US
https://shop.clifbar.com/collections/luna,shop.clifbar.com,secure_customer_sig,
https://shop.clifbar.com/collections/all,.clifbar.com,_cmp_a,%7B%22purposes%22%3A%7B%22a%22%3Atrue%2C%22p%22%3Atrue%2C%22m%22%3Atrue%2C%22t%22%3Atrue%7D%2C%22display_banner%22%3Afalse%2C%22sale_of_data_region%22%3Afalse%7D
https://shop.clifbar.com/collections/all,.clifbar.com,_landing_page,%2Fcollections%2Fall
https://shop.clifbar.com/collections/all,.clifbar.com,_orig_referrer,
https://shop.clifbar.com/collections/all,.clifbar.com,_shopify_s,1a56c965-52f0-44fa-92f1-d79dd2a758da
https://shop.clifbar.com/collections/all,.clifbar.com,_shopify_y,a7d481df-7a4d-4804-87e8-576c4d192c1d
https://shop.clifbar.com/collections/all,.clifbar.com,_tracking_consent,%7B%22v%22%3A%222.1%22%2C%22region%22%3A%22USCO%22%2C%22reg%22%3A%22%22%2C%22con%22%3A%7B%22CMP%22%3A%7B%22s%22%3A%22%22%2C%22p%22%3A%22%22%2C%22m%22%3A%22%22%2C%22a%22%3A%22%22%7D%7D%7D
https://shop.clifbar.com/collections/all,shop.clifbar.com,cart_currency,USD
https://shop.clifbar.com/collections/all,shop.clifbar.com,localization,US
https://shop.clifbar.com/collections/all,shop.clifbar.com,secure_customer_sig,
https://shop.clifbar.com/collections/clif-bar,.clifbar.com,_cmp_a,%7B%22purposes%22%3A%7B%22a%22%3Atrue%2C%22p%22%3Atrue%2C%22m%22%3Atrue%2C%22t%22%3Atrue%7D%2C%22display_banner%22%3Afalse%2C%22sale_of_data_region%22%3Afalse%7D
https://shop.clifbar.com/collections/clif-bar,.clifbar.com,_landing_page,%2Fcollections%2Fclif-bar
https://shop.clifbar.com/collections/clif-bar,.clifbar.com,_orig_referrer,
https://shop.clifbar.com/collections/clif-bar,.clifbar.com,_shopify_s,5a1a2d33-d9b2-4a43-b187-6d9e0d77a39d
https://shop.clifbar.com/collections/clif-bar,.clifbar.com,_shopify_y,57fabefb-4cee-4251-be4a-2e83e8cded0b
https://shop.clifbar.com/collections/clif-bar,.clifbar.com,_tracking_consent,%7B%22reg%22%3A%22%22%2C%22con%22%3A%7B%22CMP%22%3A%7B%22s%22%3A%22%22%2C%22m%22%3A%22%22%2C%22a%22%3A%22%22%2C%22p%22%3A%22%22%7D%7D%2C%22region%22%3A%22USCO%22%2C%22v%22%3A%222.1%22%7D
https://shop.clifbar.com/collections/clif-bar,shop.clifbar.com,cart_currency,USD
https://shop.clifbar.com/collections/clif-bar,shop.clifbar.com,localization,US
https://shop.clifbar.com/collections/clif-bar,shop.clifbar.com,secure_customer_sig,
https://shop.clifbar.com/collections/clif-kid-zbar,.clifbar.com,_cmp_a,%7B%22purposes%22%3A%7B%22a%22%3Atrue%2C%22p%22%3Atrue%2C%22m%22%3Atrue%2C%22t%22%3Atrue%7D%2C%22display_banner%22%3Afalse%2C%22sale_of_data_region%22%3Afalse%7D
https://shop.clifbar.com/collections/clif-kid-zbar,.clifbar.com,_landing_page,%2Fcollections%2Fclif-kid-zbar
https://shop.clifbar.com/collections/clif-kid-zbar,.clifbar.com,_orig_referrer,
https://shop.clifbar.com/collections/clif-kid-zbar,.clifbar.com,_shopify_s,becbdd3a-1a20-4a1c-a1b4-b86da73e2f85
https://shop.clifbar.com/collections/clif-kid-zbar,.clifbar.com,_shopify_y,e0ddf2e2-af15-488c-bf12-12870db108b9
https://shop.clifbar.com/collections/clif-kid-zbar,.clifbar.com,_tracking_consent,%7B%22region%22%3A%22USCO%22%2C%22reg%22%3A%22%22%2C%22con%22%3A%7B%22CMP%22%3A%7B%22p%22%3A%22%22%2C%22m%22%3A%22%22%2C%22s%22%3A%22%22%2C%22a%22%3A%22%22%7D%7D%2C%22v%22%3A%222.1%22%7D
https://shop.clifbar.com/collections/clif-kid-zbar,shop.clifbar.com,cart_currency,USD
https://shop.clifbar.com/collections/clif-kid-zbar,shop.clifbar.com,localization,US
https://shop.clifbar.com/collections/clif-kid-zbar,shop.clifbar.com,secure_customer_sig,
